68,number68,name68,2018-11-18 17:15:29,163352,68
69,number69,name69,2018-11-18 17:17:09,356458,69
70,number70,name70,2018-11-18 17:18:49,287895,70
71,number71,name71,2018-11-18 17:20:29,373703,71
72,number72,name72,2018-11-18 17:22:09,128848,72
73,number73,name73,2018-11-18 17:23:49,228508,73
74,number74,name74,2018-11-18 17:25:29,73743,74
75,number75,name75,2018-11-18 17:27:09,8825,75
76,number76,name76,2018-11-18 17:28:49,284947,76
77,number77,name77,2018-11-18 17:30:29,375207,77
78,number78,name78,2018-11-18 17:32:09,29993,78
79,number79,name79,2018-11-18 17:33:49,102419,79
80,number80,name80,2018-11-18 17:35:29,453129,80
81,number81,name81,2018-11-18 17:37:09,499275,81
82,number82,name82,2018-11-18 17:38:49,410060,82
83,number83,name83,2018-11-18 17:40:29,203646,83
84,number84,name84,2018-11-18 17:42:09,166649,84
85,number85,name85,2018-11-18 17:43:49,419557,85
86,number86,name86,2018-11-18 17:45:29,494852,86
87,number87,name87,2018-11-18 17:47:09,415198,87
88,number88,name88,2018-11-18 17:48:49,369419,88
89,number89,name89,2018-11-18 17:50:29,364078,89
90,number90,name90,2018-11-18 17:52:09,221069,90
91,number91,name91,2018-11-18 17:53:49,283617,91
92,number92,name92,2018-11-18 17:55:29,283906,92
93,number93,name93,2018-11-18 17:57:09,396302,93
94,number94,name94,2018-11-18 17:58:49,19515,94
95,number95,name95,2018-11-18 18:00:29,440799,95
96,number96,name96,2018-11-18 18:02:09,327535,96
97,number97,name97,2018-11-18 18:03:49,62620,97
98,number98,name98,2018-11-18 18:05:29,89651,98
99,number99,name99,2018-11-18 18:07:09,377587,99
100,number100,name100,2018-11-18 18:08:49,16032,100
101,number101,name101,2018-11-18 18:10:29,316904,101
102,number102,name102,2018-11-18 18:12:09,321660,102
103,number103,name103,2018-11-18 18:13:49,345122,103
104,number104,name104,2018-11-18 18:15:29,372112,104
105,number105,name105,2018-11-18 18:17:09,237915,105
106,number106,name106,2018-11-18 18:18:49,23561,106
107,number107,name107,2018-11-18 18:20:29,61062,107
108,number108,name108,2018-11-18 18:22:09,485240,108
109,number109,name109,2018-11-18 18:23:49,326473,109
110,number110,name110,2018-11-18 18:25:29,52320,110
111,number111,name111,2018-11-18 18:27:09,208467,111
112,number112,name112,2018-11-18 18:28:49,268356,112
113,number113,name113,2018-11-18 18:30:29,366688,113
114,number114,name114,2018-11-18 18:32:09,338194,114
115,number115,name115,2018-11-18 18:33:49,333287,115
116,number116,name116,2018-11-18 18:35:29,113915,116
117,number117,name117,2018-11-18 18:37:09,135394,117
118,number118,name118,2018-11-18 18:38:49,332316,118
119,number119,name119,2018-11-18 18:40:29,260360,119
120,number120,name120,2018-11-18 18:42:09,126741,120
121,number121,name121,2018-11-18 18:43:49,457020,121
122,number122,name122,2018-11-18 18:45:29,387915,122
123,number123,name123,2018-11-18 18:47:09,263957,123
124,number124,name124,2018-11-18 18:48:49,197285,124
125,number125,name125,2018-11-18 18:50:29,462246,125
126,number126,name126,2018-11-18 18:52:09,110428,126
127,number127,name127,2018-11-18 18:53:49,485509,127
128,number128,name128,2018-11-18 18:55:29,359940,128
129,number129,name129,2018-11-18 18:57:09,254979,129
130,number130,name130,2018-11-18 18:58:49,461841,130
131,number131,name131,2018-11-18 19:00:29,62042,131
132,number132,name132,2018-11-18 19:02:09,82868,132
133,number133,name133,2018-11-18 19:03:49,348219,133
134,number134,name134,2018-11-18 19:05:29,475908,134
135,number135,name135,2018-11-18 19:07:09,124024,135
136,number136,name136,2018-11-18 19:08:49,46873,136
137,number137,name137,2018-11-18 19:10:29,377734,137
138,number138,name138,2018-11-18 19:12:09,151718,138
139,number139,name139,2018-11-18 19:13:49,195167,139
140,number140,name140,2018-11-18 19:15:29,54322,140
141,number141,name141,2018-11-18 19:17:09,398990,141
142,number142,name142,2018-11-18 19:18:49,263720,142
143,number143,name143,2018-11-18 19:20:29,424541,143
144,number144,name144,2018-11-18 19:22:09,453702,144
145,number145,name145,2018-11-18 19:23:49,491972,145
146,number146,name146,2018-11-18 19:25:29,78427,146
147,number147,name147,2018-11-18 19:27:09,400176,147
148,number148,name148,2018-11-18 19:28:49,351384,148
149,number149,name149,2018-11-18 19:30:29,423552,149
